grant_number,hc_name,hc_type,hq_city,hq_state,hq_zip,operator_type,site_count,active_sites,county_count
H80CS06672,COMMUNITY OF HOPE INC.,Federally Qualified Health Center (FQHC),Washington,DC,20032-2350,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS00867,ACCESS HEALTH LOUISIANA,Federally Qualified Health Center (FQHC),Kenner,LA,70065-4605,"Corporate Entity, Federal Tax Exempt",69,69,16
H80CS08238,CHANGE INC,Federally Qualified Health Center (FQHC),Weirton,WV,26062-4697,"Corporate Entity, Federal Tax Exempt",24,24,3
H80CS00353,"CENTRO DE SALUD DE LARES, INC",Federally Qualified Health Center (FQHC),Lares,PR,00669,"Corporate Entity, Federal Tax Exempt",4,4,3
H80CS25680,PORTLAND COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Portland,ME,04102-2957,"Corporate Entity, Federal Tax Exempt",35,35,1
H80CS00732,JESSIE TRICE COMMUNITY HEALTH SYSTEM INC,Federally Qualified Health Center (FQHC),Miami,FL,33142-2826,"Corporate Entity, Federal Tax Exempt",75,75,1
H80CS00345,COMMUNITY HEALTH SYSTEMS INC,Federally Qualified Health Center (FQHC),Beckley,WV,25801-3503,"Corporate Entity, Federal Tax Exempt",34,34,4
H80CS06654,LIFECARE FAMILY HEALTH & DENTAL CENTER INC,Federally Qualified Health Center (FQHC),Canton,OH,44707-2769,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00076,KEYSTONE RURAL HEALTH CENTER,Federally Qualified Health Center (FQHC),Chambersburg,PA,17201-7304,"Corporate Entity, Federal Tax Exempt",32,32,5
H80CS00405,"ATASCOSA HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Pleasanton,TX,78064-4033,"Corporate Entity, Federal Tax Exempt",11,11,5
H80CS00786,FAMILY HEALTHCARE NETWORK,Federally Qualified Health Center (FQHC),Visalia,CA,93291-6331,"Corporate Entity, Federal Tax Exempt",49,49,4
H80CS00071,COVENANT HOUSE INC,Federally Qualified Health Center (FQHC),Philadelphia,PA,19144-1799,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00313,"SUN RIVER HEALTH, INC.",Federally Qualified Health Center (FQHC),Peekskill,NY,10566-2913,"Corporate Entity, Federal Tax Exempt",85,85,14
H80CS00181,"GOSHEN MEDICAL CENTER, INC",Federally Qualified Health Center (FQHC),Faison,NC,28341,"Corporate Entity, Federal Tax Exempt",57,57,17
LALCS00085,COMMUNITY CLINICAL SERVICES INC,Federally Qualified Health Center (FQHC) Look-Alike,LEWISTON,ME,04240,NA,7,7,1
H80CS00419,"Family Health Services of Darke County, Inc.",Federally Qualified Health Center (FQHC),Greenville,OH,45331-1186,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS16639,COMMUNITY HEALTH CENTER OF RICHMOND INC,Federally Qualified Health Center (FQHC),Staten Island,NY,10302-1714,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00717,Brownsville Community Health Clinic Corporation,Federally Qualified Health Center (FQHC),Brownsville,TX,78521-3527,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00771,INTERCARE COMMUNITY HEALTH NETWORK,Federally Qualified Health Center (FQHC),Bangor,MI,49013-1246,"Corporate Entity, Federal Tax Exempt",11,11,4
H80CS02445,JOHNSON HEALTH CENTER,Federally Qualified Health Center (FQHC),Lynchburg,VA,24504-2306,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS01133,BRISTOL BAY AREA HEALTH CORPORATION,Federally Qualified Health Center (FQHC),Dillingham,AK,99576,"Corporate Entity, Federal Tax Exempt",26,26,4
H80CS00768,THE INSTITUTE FOR FAMILY HEALTH,Federally Qualified Health Center (FQHC),New York,NY,10035-1217,"Corporate Entity, Federal Tax Exempt",28,28,5
H80CS00137,UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,Federally Qualified Health Center (FQHC),Fresno,CA,93711-0795,"Corporate Entity, Federal Tax Exempt",56,56,4
H80CS00494,"NORTH SHORE COMMUNITY HEALTH, INC",Federally Qualified Health Center (FQHC),Salem,MA,01970-7309,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS08236,CAPSTONE HEALTH,Federally Qualified Health Center (FQHC),Parrish,AL,35580-3847,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS00833,"DELAWARE VALLEY COMMUNITY HEALTH, INC.",Federally Qualified Health Center (FQHC),Philadelphia,PA,19130-2908,"Corporate Entity, Federal Tax Exempt",11,11,3
H80CS00749,CARESTL HEALTH,Federally Qualified Health Center (FQHC),Saint Louis,MO,63112-4265,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS00039,DALLAS COUNTY HOSPITAL DISTRICT,Federally Qualified Health Center (FQHC),Dallas,TX,75235-7709,U.S. Government Entity,11,11,1
H80CS00845,ST GEORGE MEDICAL CLINIC INC.,Federally Qualified Health Center (FQHC),Parsons,WV,26287-8604,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS00385,"SOUTHBRIDGE MEDICAL ADVISORY COUNCIL, INC.",Federally Qualified Health Center (FQHC),Wilmington,DE,19801-5821,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS26560,"EAST CENTRAL MISSOURI BEHAVIORAL HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Mexico,MO,65265-3811,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS00230,EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CE,Federally Qualified Health Center (FQHC),Tucson,AZ,85701-8274,"Corporate Entity, Federal Tax Exempt",31,31,6
H80CS00073,"PENINSULA INSTITUTE FOR COMMUNITY HEALTH, INC",Federally Qualified Health Center (FQHC),Newport News,VA,23607-2299,"Corporate Entity, Federal Tax Exempt",14,14,6
H80CS06662,HEALTHLINC INC,Federally Qualified Health Center (FQHC),Valparaiso,IN,46383-2520,"Corporate Entity, Federal Tax Exempt",16,16,6
H80CS00696,CHIRICAHUA COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center (FQHC),Elfrida,AZ,85610-9021,"Corporate Entity, Federal Tax Exempt",37,37,1
H80CS00063,"MED CENTRO, INC.",Federally Qualified Health Center (FQHC),Ponce,PR,00716-1115,"Corporate Entity, Federal Tax Exempt",15,15,5
H80CS06457,"NORTH TEXAS AREA COMMUNITY HEALTH CENTERS, INC.",Federally Qualified Health Center (FQHC),Fort Worth,TX,76114-1756,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00050,County of Contra Costa,Federally Qualified Health Center (FQHC),Martinez,CA,94553-4707,U.S. Government Entity,34,34,1
H80CS00188,COASTAL FAMILY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Gulfport,MS,39503-4634,"Corporate Entity, Federal Tax Exempt",48,48,7
H80CS00607,"LAS CLINICAS DEL NORTE, INCORPORATED",Federally Qualified Health Center (FQHC),El Rito,NM,87530,"Corporate Entity, Federal Tax Exempt",9,9,3
H80CS26563,"COMPASS HEALTH, INC",Federally Qualified Health Center (FQHC),Clinton,MO,64735-8804,"Corporate Entity, Federal Tax Exempt",71,71,22
LALCS52973,ONE CROSS COMMUNITY INC,Federally Qualified Health Center (FQHC) Look-Alike,Campbellsville,KY,42718,NA,2,2,2
H80CS08756,"UPPER VALLEY COMMUNITY HEALTH, SERVICES INC",Federally Qualified Health Center (FQHC),Saint Anthony,ID,83445-1602,"Corporate Entity, Federal Tax Exempt",34,34,5
H80CS33660,"OHIO STATE UNIVERSITY, THE",Federally Qualified Health Center (FQHC),Columbus,OH,43210-1016,U.S. Government Entity,4,4,1
H80CS00182,MIAMI BEACH COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Miami Beach,FL,33139-5564,"Corporate Entity, Federal Tax Exempt",18,18,1
H80CS01442,COUNTY OF SANTA CLARA,Federally Qualified Health Center (FQHC),San Jose,CA,95110-1705,U.S. Government Entity,39,39,2
LALCS31536,CLOVER FORK OUTPATIENT MEDICAL PROJECT INC,Federally Qualified Health Center (FQHC) Look-Alike,EVARTS,KY,40828,NA,12,12,1
H80CS00501,SANDHILLS MEDICAL FOUNDATON JEFFERSON,Federally Qualified Health Center (FQHC),Jefferson,SC,29718-8701,"Corporate Entity, Federal Tax Exempt",12,12,4
H80CS28980,HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,Federally Qualified Health Center (FQHC),Marysville,CA,95901-6937,"Corporate Entity, Federal Tax Exempt",4,4,2
H80CS06649,SONOMA VALLEY COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Sonoma,CA,95476-5414,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS04321,"SUNSET COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Somerton,AZ,85350,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00630,"EASTPORT HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Eastport,ME,04631-1397,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00040,THE COLORADO COALITION FOR THE HOMELESS,Federally Qualified Health Center (FQHC),Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",19,19,5
H80CS00251,"REDWOODS RURAL HEALTH CENTER, INCORPORATED",Federally Qualified Health Center (FQHC),Redway,CA,95560,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00549,"GREATER BADEN MEDICAL SERVICES, INC.",Federally Qualified Health Center (FQHC),Brandywine,MD,20613-3035,"Corporate Entity, Federal Tax Exempt",12,12,3
LALCS00062,"CENTRO MEDICO COMMUNITY CLINIC, INC.",Federally Qualified Health Center (FQHC) Look-Alike,CORONA,CA,92882,NA,18,18,2
H80CS01130,NORTON SOUND HEALTH CORP,Federally Qualified Health Center (FQHC),Nome,AK,99762,"Corporate Entity, Federal Tax Exempt",16,16,1
H80CS00704,MONTANA MIGRANT & SEASONAL FARM WORKERS,Federally Qualified Health Center (FQHC),Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",9,9,6
H80CS08772,GRACEMED HEALTH CLINIC INC,Federally Qualified Health Center (FQHC),Wichita,KS,67214-2805,"Corporate Entity, Federal Tax Exempt",15,15,2
H80CS00090,"Family Health Centers, Inc",Federally Qualified Health Center (FQHC),Orangeburg,SC,29115-1466,"Corporate Entity, Federal Tax Exempt",14,14,4
H80CS00624,"LYNN COMMUNITY HEALTH, INC",Federally Qualified Health Center (FQHC),Lynn,MA,01901-1314,"Corporate Entity, Federal Tax Exempt",38,38,2
H80CS28973,GENEHIS HEALTH CARE INC,Federally Qualified Health Center (FQHC),Darlington,SC,29532-3301,"Corporate Entity, Federal Tax Exempt",13,13,5
H80CS24166,"THE CHAUTAUQUA CENTER, INC.",Federally Qualified Health Center (FQHC),Dunkirk,NY,14048-2239,"Corporate Entity, Federal Tax Exempt",14,14,3
H80CS26573,TRAVERSE HEALTH CLINIC & COALITION,Federally Qualified Health Center (FQHC),Traverse City,MI,49686-4337,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00420,B-K HEALTH CENTER INC.,Federally Qualified Health Center (FQHC),Montrose,PA,18801-1317,"Corporate Entity, Federal Tax Exempt",3,3,2
LALCS33966,"METROHEALTH SYSTEM, THE",Federally Qualified Health Center (FQHC) Look-Alike,CLEVELAND,OH,44109,NA,10,10,1
H80CS00399,COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,Federally Qualified Health Center (FQHC),Piketon,OH,45661-9757,"Corporate Entity, Federal Tax Exempt",12,12,4
H80CS00471,IRONTON AND LAWRENCE COUNTY AREA COMMUNITY ACTION ORGANIZATION,Federally Qualified Health Center (FQHC),Ironton,OH,45638-1578,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00806,COMMUNITY HEALTH CENTER OF FRANKLIN COUNTY INC,Federally Qualified Health Center (FQHC),Greenfield,MA,01301-3275,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS06661,NATIVE AMERICAN COMMUNITY CLINIC,Federally Qualified Health Center (FQHC),Minneapolis,MN,55404-2923,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00633,"ACCESS FAMILY HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Smithville,MS,38870-9793,"Corporate Entity, Federal Tax Exempt",19,19,5
LALCS40178,"EHS, INC.",Federally Qualified Health Center (FQHC) Look-Alike,BUFFALO,NY,14201,NA,8,8,2
H80CS26512,PREFERRED FAMILY HEALTHCARE INC,Federally Qualified Health Center (FQHC),Kirksville,MO,63501,"Corporate Entity, Federal Tax Exempt",26,26,9
H80CS00780,MEMPHIS HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Memphis,TN,38126-5310,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS00742,GOLDEN VALLEY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Merced,CA,95341-6805,"Corporate Entity, Federal Tax Exempt",53,53,3
H80CS00524,LONG VALLEY HEALTH CENTER,Federally Qualified Health Center (FQHC),Laytonville,CA,95454-9744,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00107,ROBESON HEALTH CARE CORPORATION,Federally Qualified Health Center (FQHC),Pembroke,NC,28372,"Corporate Entity, Federal Tax Exempt",12,12,2
H80CS04219,OLE HEALTH,Federally Qualified Health Center (FQHC),Napa,CA,94558-6485,"Corporate Entity, Federal Tax Exempt",25,25,3
H80CS25679,"J.C. Lewis Primary Healthcare Center, Inc.",Federally Qualified Health Center (FQHC),Savannah,GA,31406-4738,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00793,EAST TEXAS COMMUNITY HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Nacogdoches,TX,75961-6488,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS02446,NEIGHBORHOOD HEALTH,Federally Qualified Health Center (FQHC),Alexandria,VA,22306-6647,"Corporate Entity, Federal Tax Exempt",19,19,4
H80CS00741,"FAIR HAVEN COMMUNITY HEALTH CLINIC, INC.",Federally Qualified Health Center (FQHC),New Haven,CT,06513-3787,"Corporate Entity, Federal Tax Exempt",24,24,1
H80CS00223,"TIBURCIO VASQUEZ HEALTH CENTER, INCORPORATED",Federally Qualified Health Center (FQHC),Hayward,CA,94541-3911,"Corporate Entity, Federal Tax Exempt",20,20,1
H80CS00735,COLLIER HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Immokalee,FL,34142-2200,"Corporate Entity, Federal Tax Exempt",24,24,1
H80CS00370,SOUTHEAST COMMUNITY HEALTH SYSTEMS,Federally Qualified Health Center (FQHC),Zachary,LA,70791-4038,"Corporate Entity, Federal Tax Exempt",29,29,4
H80CS00118,"COLUMBUS NEIGHBORHOOD HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Columbus,OH,43219-2289,"Corporate Entity, Federal Tax Exempt",16,16,2
H80CS00614,VALLEY HEALTH SYSTEMS INC,Federally Qualified Health Center (FQHC),Huntington,WV,25705-2936,"Corporate Entity, Federal Tax Exempt",44,44,10
LALCS49539,EAST CARROLL PARISH HOSPITAL SERVICE DISTRICT,Federally Qualified Health Center (FQHC) Look-Alike,LAKE PROVIDENCE,LA,71254,NA,3,3,1
H80CS00858,"ATLANTICARE HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Egg Harbor Township,NJ,08234-5549,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS28352,ISABELLA CITIZENS FOR HEALTH,Federally Qualified Health Center (FQHC),Mount Pleasant,MI,48858-6934,"Corporate Entity, Federal Tax Exempt",13,13,3
H80CS00001,HEALTH & HUMAN SERVICES,Federally Qualified Health Center (FQHC),Springfield,MA,01105-1320,U.S. Government Entity,8,8,2
H80CS00830,MOUNTAIN FAMILY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Glenwood Springs,CO,81601-4206,"Corporate Entity, Federal Tax Exempt",9,9,3
H80CS24692,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",Federally Qualified Health Center (FQHC),Prestonsburg,KY,41653-1614,"Corporate Entity, Federal Tax Exempt",23,23,11
H80CS00009,CITY OF NEWARK NEW JERSEY,Federally Qualified Health Center (FQHC),Newark,NJ,07102,U.S. Government Entity,7,7,1
H80CS00138,"COMMUNITY MEDICAL CENTERS, INC.",Federally Qualified Health Center (FQHC),Stockton,CA,95210-3339,"Corporate Entity, Federal Tax Exempt",42,42,2
H80CS00179,MEDCURA HEALTH INC,Federally Qualified Health Center (FQHC),Stone Mountain,GA,30083-3215,"Corporate Entity, Federal Tax Exempt",16,16,4
H80CS00164,COMMUNITY HEALTH CARE INC,Federally Qualified Health Center (FQHC),Bridgeton,NJ,08302-1902,"Corporate Entity, Federal Tax Exempt",20,20,3
H80CS04289,LONE STAR CIRCLE OF CARE,Federally Qualified Health Center (FQHC),Georgetown,TX,78628-3269,"Corporate Entity, Federal Tax Exempt",31,31,4
H80CS00468,"OUTER CAPE HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Harwich Port,MA,02646,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00423,"CENTRAL FLORIDA HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Winter Haven,FL,33881-4672,"Corporate Entity, Federal Tax Exempt",27,27,3
H80CS39465,CATHERINES HEALTH CENTER,Federally Qualified Health Center (FQHC),Grand Rapids,MI,49505-5092,"Corporate Entity, Federal Tax Exempt",14,14,1
H80CS00680,COMMUNITY HEALTH & EMERGENCY SERVICES INC,Federally Qualified Health Center (FQHC),Carbondale,IL,62901-5334,"Corporate Entity, Federal Tax Exempt",12,12,7
H80CS26616,BENEVOLENCE INDUSTRIES INC,Federally Qualified Health Center (FQHC),Los Angeles,CA,90019-4534,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS00677,PENINSULA COMMUNITY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Bremerton,WA,98337-1467,"Corporate Entity, Federal Tax Exempt",42,42,3
H80CS06454,"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",Federally Qualified Health Center (FQHC),Blakely,GA,39823-2554,"Corporate Entity, Federal Tax Exempt",9,9,4
LALCS00033,NORTHEAST COMMUNITY CLINIC,Federally Qualified Health Center (FQHC) Look-Alike,ALHAMBRA,CA,91801,NA,8,8,1
H80CS00790,"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Saint Paul,MN,55107-2295,"Corporate Entity, Federal Tax Exempt",18,18,1
H80CS24137,OZARKS RESOURCE GROUP,Federally Qualified Health Center (FQHC),Hermitage,MO,65668,"Corporate Entity, Federal Tax Exempt",18,18,5
H80CS00426,ONE COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Hood River,OR,97031-1956,"Corporate Entity, Federal Tax Exempt",12,12,4
H80CS02467,PALAU MINISTRY OF HEALTH,Federally Qualified Health Center (FQHC),KOROR,PW,96940,Foreign Government,11,11,2
LALCS31618,COMMUNITY MEDICINE INC,Federally Qualified Health Center (FQHC) Look-Alike,PARAMOUNT,CA,90723,NA,4,4,2
H80CS04215,"HEALTHFIRST FAMILY CARE CENTER, INC.",Federally Qualified Health Center (FQHC),Fall River,MA,02723-1025,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00472,MORRIS HEIGHTS HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Bronx,NY,10453-4015,"Corporate Entity, Federal Tax Exempt",34,34,3
H80CS08785,TRIAD HEALTH SYSYEMS INC,Federally Qualified Health Center (FQHC),Warsaw,KY,41095-7513,"Corporate Entity, Federal Tax Exempt",24,24,3
H80CS00270,MOSAIC COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Prineville,OR,97754-1802,"Corporate Entity, Federal Tax Exempt",21,21,3
H80CS28373,SHERIDAN COUNTY HOSPITAL,Federally Qualified Health Center (FQHC),Hoxie,KS,67740-4371,U.S. Government Entity,12,12,4
H80CS08735,CHINATOWN SERVICE CENTER,Federally Qualified Health Center (FQHC),Los Angeles,CA,90012-3177,"Corporate Entity, Federal Tax Exempt",16,16,1
H80CS33795,COUNTY OF MONTEREY,Federally Qualified Health Center (FQHC),Salinas,CA,93901-2487,U.S. Government Entity,14,14,1
H80CS00068,"TOTAL HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Baltimore,MD,21217-3121,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS00191,NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Cleveland,OH,44103-2443,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00225,OPEN DOOR COMMUNITY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Arcata,CA,95521-5770,"Corporate Entity, Federal Tax Exempt",25,25,2
H80CS00547,COUNTY OF CLACKAMAS,Federally Qualified Health Center (FQHC),Oregon City,OR,97045-4035,U.S. Government Entity,10,10,1
H80CS24168,"STERLING HEALTH SOLUTIONS, INC.",Federally Qualified Health Center (FQHC),Mount Sterling,KY,40353-1348,"Corporate Entity, Federal Tax Exempt",36,36,6
H80CS00706,"COOK AREA HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Cook,MN,55723-9702,"Corporate Entity, Federal Tax Exempt",11,11,3
H80CS00570,ALL CARE HEALTH CENTER,Federally Qualified Health Center (FQHC),Council Bluffs,IA,51501-6441,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS00022,"SAINT JOSEPH'S MERCY CARE SERVICES, INC.",Federally Qualified Health Center (FQHC),Atlanta,GA,30312-1848,"Corporate Entity, Federal Tax Exempt",8,8,2
H80CS24148,LCH HEALTH & COMMUNITY SERVICES,Federally Qualified Health Center (FQHC),Kennett Square,PA,19348-2419,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00599,Swope Health Services,Federally Qualified Health Center (FQHC),Kansas City,MO,64129-1993,"Corporate Entity, Federal Tax Exempt",19,19,6
H80CS12892,ROCKING HORSE CENTER,Federally Qualified Health Center (FQHC),Springfield,OH,45505-1965,Other,6,6,2
H80CS00879,FAMILY CHRISTIAN HEALTH CENTER,Federally Qualified Health Center (FQHC),Harvey,IL,60426-3556,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS26608,COPPERTOWER FAMILY MEDICAL CENTER INC,Federally Qualified Health Center (FQHC),Cloverdale,CA,95425-3932,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00298,REGENESIS HEALTH CARE INC,Federally Qualified Health Center (FQHC),Spartanburg,SC,29302-1614,"Corporate Entity, Federal Tax Exempt",43,43,4
H80CS00827,"WOMENCARE, INC",Federally Qualified Health Center (FQHC),Scott Depot,WV,25560-9816,"Corporate Entity, Federal Tax Exempt",35,35,4
H80CS00476,Will County Community Health Center,Federally Qualified Health Center (FQHC),Joliet,IL,60433-2700,U.S. Government Entity,6,6,2
H80CS00278,SOUTHWEST VIRGINIA COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Saltville,VA,24370-3418,"Corporate Entity, Federal Tax Exempt",15,15,4
H80CS00085,"DELTA HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Mound Bayou,MS,38762,"Corporate Entity, Federal Tax Exempt",18,18,5
H80CS00772,CENTER FOR FAMILY HEALTH,Federally Qualified Health Center (FQHC),Jackson,MI,49201-1266,"Corporate Entity, Federal Tax Exempt",7,7,1
LALCS00124,GARFIELD HEALTH CENTER,Federally Qualified Health Center (FQHC) Look-Alike,MONTEREY PARK,CA,91754,NA,12,12,1
H80CS28354,Oakland Integrated Healthcare Network,Federally Qualified Health Center (FQHC),Pontiac,MI,48342-5034,"Corporate Entity, Federal Tax Exempt",19,19,1
H80CS00240,HEALTH CARE CENTER FOR THE HOMELESS INC,Federally Qualified Health Center (FQHC),Orlando,FL,32805-1612,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS11299,"CODMAN SQUARE HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Dorchester Center,MA,02124-3510,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00459,"HEALTH HELP, INCORPORATED",Federally Qualified Health Center (FQHC),Richmond,KY,40475-3839,"Corporate Entity, Federal Tax Exempt",12,12,5
LALCS32103,SERENITY CARE HEALTH GROUP,Federally Qualified Health Center (FQHC) Look-Alike,Long Beach,CA,90813,NA,5,5,1
H80CS00738,"CHESPENN HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Crum Lynne,PA,19022-1377,"Corporate Entity, Federal Tax Exempt",3,3,1
LALCS31539,EQUITAS HEALTH INC,Federally Qualified Health Center (FQHC) Look-Alike,COLUMBUS,OH,43229,NA,17,17,5
H80CS02592,BENTON COUNTY,Federally Qualified Health Center (FQHC),Corvallis,OR,97330-5223,U.S. Government Entity,8,8,2
H80CS00403,LA CLINICA DEL PUEBLO,Federally Qualified Health Center (FQHC),Tierra Amarilla,NM,87575,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00065,FAMILY HEALTH NETWORK,Federally Qualified Health Center (FQHC),Homer,NY,13077-1542,"Corporate Entity, Federal Tax Exempt",11,11,3
H80CS00505,"LOS BARRIOS UNIDOS COMMUNITY CLINIC, INC.",Federally Qualified Health Center (FQHC),Dallas,TX,75212-4014,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00288,GREATER FAMILY HEALTH,Federally Qualified Health Center (FQHC),Hoffman Estates,IL,60169-7255,"Corporate Entity, Federal Tax Exempt",15,15,5
H80CS00316,LA CLINICA DE FAMILIA INC,Federally Qualified Health Center (FQHC),Las Cruces,NM,88005-3423,"Corporate Entity, Federal Tax Exempt",28,28,1
H80CS26594,"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC. (""H.E.A.L.,INC."")",Federally Qualified Health Center (FQHC),Atlanta,GA,30331-8519,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS26583,NO AIDS TASK FORCE,Federally Qualified Health Center (FQHC),New Orleans,LA,70117-8208,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00217,METRO COMMUNITY PROVIDER NETWORK INC,Federally Qualified Health Center (FQHC),Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",13,13,4
H80CS12875,"HURTT FAMILY HEALTH CLINIC, INC.",Federally Qualified Health Center (FQHC),Tustin,CA,92782-0221,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS00774,"THREE LOWER COUNTIES COMMUNITY SERVICES, INC",Federally Qualified Health Center (FQHC),Salisbury,MD,21804-1773,"Corporate Entity, Federal Tax Exempt",23,23,3
H80CS00200,HEALTHCARE CONNECTION INC,Federally Qualified Health Center (FQHC),Cincinnati,OH,45215,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00474,SERVICIOS DE SALUD PRIMARIOS DE BARCELONETA INC,Federally Qualified Health Center (FQHC),Barceloneta,PR,00617-3217,"Corporate Entity, Federal Tax Exempt",2,2,2
H80CS00282,VISTA COMMUNITY CLINIC,Federally Qualified Health Center (FQHC),Vista,CA,92084-5218,"Corporate Entity, Federal Tax Exempt",23,23,4
H80CS00281,REFUAH HEALTH CENTER INC,Federally Qualified Health Center (FQHC),New Square,NY,10977-8916,"Corporate Entity, Federal Tax Exempt",20,20,4
H80CS29010,"UPHAMS CORNER HEALTH COMMITTEE, INC.",Federally Qualified Health Center (FQHC),Dorchester,MA,02125-2389,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS26635,PROJECT HOME,Federally Qualified Health Center (FQHC),Philadelphia,PA,19130-2936,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS22686,BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Lancaster,CA,93535-4576,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS00087,ADVANCE COMMUNITY HEALTH INC,Federally Qualified Health Center (FQHC),Raleigh,NC,27610-3825,"Corporate Entity, Federal Tax Exempt",14,14,2
